item_id,subject,mr_name,input_relation_JIR,output_relation_JOR
M24,MathSignalClass?midpoint?0,G_swap_negate,((Math.abs(((double) i_a_f) - ((double) i_b_s)) < 1.0E-4) && (Math.abs(((double) i_b_f) - ((double) i_a_s)) < 1.0E-4)),(Math.abs(((double) o_return_f) - ((double) o_return_s)) < 1.0E-4)
M25,MathSignalClass?midpoint?0,L_scale,((Math.abs(((double) i_a_f) - (2.0 * ((double) i_a_s))) < 1.0E-4) && (Math.abs(((double) i_b_f) - (2.0 * ((double) i_b_s))) < 1.0E-4)),(Math.abs(((double) o_return_f) - (2.0 * ((double) o_return_s))) < 1.0E-4)
M26,MathSignalClass?midpoint?0,O_le_mono_in_a,i_a_s <= i_a_f && Math.abs(i_b_s - i_b_f) < 1.0E-4,o_return_s <= o_return_f
M27,MathSignalClass?midpoint?0,T_shift,((Math.abs(((double) i_a_f) - (((double) i_a_s) + 1.0)) < 1.0E-4) && (Math.abs(((double) i_b_f) - (((double) i_b_s) + 1.0)) < 1.0E-4)),(Math.abs(((double) o_return_f) - (((double) o_return_s) + 1.0)) < 1.0E-4)
M28,MathSignalClass?powerSig?0,D_reciprocal_exp,Math.abs(i_base_f - i_base_s) < 1.0E-4 && i_base_s != 0.0 && i_n_f == -i_n_s,Math.abs(o_return_f - (1.0 / o_return_s)) < 1.0E-4
M29,MathSignalClass?powerSig?0,E_power_of_power,Math.abs(i_base_f - o_return_s) < 1.0E-4,"Math.abs(o_return_f - powerSig(i_base_s, i_n_s * i_n_f)) < 1.0E-4"
M30,MathSignalClass?powerSig?0,G_odd_negate,(i_n_f == i_n_s) && (Math.abs(((double) i_base_f) - (-((double) i_base_s))) < 1.0E-4),((((int) i_n_s) % 2 == 0) && (Math.abs(((double) o_return_f) - ((double) o_return_s)) < 1.0E-4)) || ((((int) i_n_s) % 2 != 0) && (Math.abs(((double) o_return_f) - (-((double) o_return_s))) < 1.0E-4))
M31,MathSignalClass?powerSig?0,L_scale_base,(Math.abs(((double) i_base_f) - (3.0 * ((double) i_base_s))) < 1.0E-4) && (i_n_f == i_n_s),"(Math.abs(((double) o_return_f) - (powerSig(3.0, i_n_s) * ((double) o_return_s))) < 1.0E-4)"
M32,MathSignalClass?powerSig?0,T_exp_step,(((double) i_base_f) == ((double) i_base_s) && (i_n_f == (i_n_s + 1))),(Math.abs(((double) o_return_f) - (((double) o_return_s) * ((double) i_base_s))) < 1.0E-4)
M33,MathSignalClass?signum?0,D_reciprocal,i_x_s != 0.0 && Math.abs(i_x_f - (1.0 / i_x_s)) < 1.0E-4,o_return_f == o_return_s
M34,MathSignalClass?signum?0,G_negate,(Math.abs(((double) i_x_f) - (-((double) i_x_s))) < 1.0E-4),(o_return_f == - o_return_s)
M35,MathSignalClass?signum?0,L_scale_pos,(Math.abs(((double) i_x_f) - (3.0 * ((double) i_x_s))) < 1.0E-4),(o_return_f == o_return_s)
M36,MathSignalClass?signum?0,O_le_monotone,i_x_s <= i_x_f,o_return_s <= o_return_f
